location,count
Houston Texas Area,509
Bryan/College Station Texas Area,364
Dallas/Fort Worth Area,242
Austin Texas Area,217
San Antonio Texas Area,118
Washington D.C. Metro Area,69
Greater Denver Area,35
San Francisco Bay Area,32
Greater Los Angeles Area,29
Greater Seattle Area,26
Corpus Christi Texas Area,26
United States,23
Odessa/Midland Texas Area,22
Greater New York City Area,22
Greater Atlanta Area,22
Killeen/Temple Texas Area,19
Tyler Texas Area,18
Oklahoma City Oklahoma Area,15
Raleigh-Durham North Carolina Area,14
Greater Boston Area,13
Greater St. Louis Area,13
Greater Chicago Area,12
Greater Philadelphia Area,11
Greater Salt Lake City Area,11
Portland Oregon Area,11
Phoenix Arizona Area,10
Hawaiian Islands,10
Greater San Diego Area,9
Las Vegas Nevada Area,9
Greater Minneapolis-St. Paul Area,8
Fort Collins Colorado Area,8
Colorado Springs Colorado Area,8
San Angelo Texas Area,8
Tampa/St. Petersburg Florida Area,8
Orange County California Area,7
Beaumont/Port Arthur Texas Area,7
Baton Rouge Louisiana Area,7
Bismarck North Dakota Area,6
Albuquerque New Mexico Area,6
Anchorage Alaska Area,6
Charleston South Carolina Area,6
Lansing Michigan Area,6
Miami/Fort Lauderdale Area,6
Victoria Texas Area,6
West Palm Beach Florida Area,5
Lubbock Texas Area,5
Longview Texas Area,5
Tallahassee Florida Area,5
Texarkana Texas Area,5
Saudi Arabia,5
Kansas City Missouri Area,5
Lafayette Indiana Area,5
Huntsville Alabama Area,5
El Paso Texas Area,5
Flagstaff Arizona Area,4
Charlotte North Carolina Area,4
Amarillo Texas Area,4
Columbus Ohio Area,4
Baltimore Maryland Area,4
Greater Pittsburgh Area,4
Greater Nashville Area,4
Greater Omaha Area,4
Greater Jakarta Area Indonesia,4
Greater Detroit Area,4
Knoxville Tennessee Area,4
Jackson Mississippi Area,4
Topeka Kansas Area,4
Toronto Canada Area,4
Orlando Florida Area,4
Roanoke Virginia Area,4
Tulsa Oklahoma Area,4
Urbana-Champaign Illinois Area,4
United Arab Emirates,3
Williamsport Pennsylvania Area,3
Reno Nevada Area,3
Richland/Kennewick/Pasco Washington Area,3
Richmond Virginia Area,3
Peru,3
Melbourne Florida Area,3
Tucson Arizona Area,3
Sioux Falls South Dakota Area,3
Puerto Rico,3
Santa Fe New Mexico Area,3
Israel,3
Jacksonville Florida Area,3
Lafayette Louisiana Area,3
Lexington Kentucky Area,3
Lincoln Nebraska Area,3
Gainesville Florida Area,3
Greater Memphis Area,3
Greater New Orleans Area,3
Abilene Texas Area,3
Albany New York Area,3
Boise Idaho Area,3
Biloxi Mississippi Area,3
Cincinnati Area,3
Casper Wyoming Area,3
Brisbane Area Australia,3
Cheyenne Wyoming Area,3
Corvallis Oregon Area,3
Edinburgh United Kingdom,3
Des Moines Iowa Area,2
Costa Rica,2
Finland,2
China,2
Brownsville Texas Area,2
Copenhagen Area Denmark,2
Columbia Missouri Area,2
Columbia South Carolina Area,2
Beijing City China,2
Bengaluru Area India,2
Bangladesh,2
Bakersfield California Area,2
Alexandria Louisiana Area,2
Auckland New Zealand,2
Great Falls Montana Area,2
Glens Falls New York Area,2
Greensboro/Winston-Salem North Carolina Area,2
Greenville South Carolina Area,2
Kenya,2
London United Kingdom,2
Laredo Texas Area,2
Las Cruces New Mexico Area,2
Jordan,2
Sarasota Florida Area,2
Qatar,2
Sherman/Denison Texas Area,2
Shreveport Louisiana Area,2
Syracuse New York Area,2
St. Cloud Minnesota Area,2
State College Pennsylvania Area,2
Norfolk Virginia Area,2
Pakistan,2
Louisville Kentucky Area,2
Nigeria,2
Peoria Illinois Area,2
Providence Rhode Island Area,2
Provo Utah Area,2
Wichita Falls Texas Area,2
Tuscaloosa Alabama Area,2
Waco Texas Area,2
Turkey,2
Turks and Caicos Islands,1
Udaipur Area India,1
US Military Posts in the Pacific,1
Uzbekistan,1
Vancouver Canada Area,1
United Kingdom,1
Vishakhapatnam Area India,1
Wilmington North Carolina Area,1
Wuhan Hubei China,1
Zapopan Area Mexico,1
Potsdam Area Germany,1
Pine Bluff Arkansas Area,1
Rochester New York Area,1
Russian Federation,1
Rwanda,1
Sacramento California Area,1
Nijmegen Area Netherlands,1
Maceií_ Area Brazil,1
Medford Oregon Area,1
Melbourne Area Australia,1
Panama City Florida Area,1
Parkersburg West Virginia Area,1
Owensboro Kentucky Area,1
Stavanger Area Norway,1
